merges,n,vocab_size,chars_per_token_val,tokens_per_1k_chars_val,val_bpt,val_ppl,train_bpt,train_ppl,best_lambdas,effective_tokens_val,effective_tokens_train
10,2,270,1.107602035517707,902.8513562929555,3.816042437046435,14.084558509883013,3.819910241646696,14.122369279527696,"[4.997384980095029e-06, 0.99999500261502]",96289,797595
10,3,270,1.107602035517707,902.8513562929555,3.0716589475324225,8.40739553318665,3.0540744388838945,8.305542695226613,"[4.860967513233252e-13, 3.0440074190907893e-05, 0.9999695599253231]",96288,797594
10,4,270,1.107602035517707,902.8513562929555,2.927101458018821,7.605807672039303,2.8760655818639895,7.341452777815423,"[4.860967559885624e-13, 9.296020338944888e-06, 0.39486886750944344, 0.6051218364697316]",96287,797593
10,5,270,1.107602035517707,902.8513562929555,2.9270815664583445,7.605702805566478,2.876074350171743,7.341497397302639,"[4.860967533755661e-13, 1.1086195731097038e-07, 0.39501512712398384, 0.6049610393021095, 2.3722711463036082e-05]",96286,797592
10,6,270,1.107602035517707,902.8513562929555,2.9270842578509604,7.60571699425562,2.8760679237715827,7.341464695107348,"[4.86096754453533e-13, 1.196238894838774e-07, 0.3949868266489879, 0.604990077310009, 2.297641599403799e-05, 6.334974174370427e-13]",96285,797591
10,7,270,1.107602035517707,902.8513562929555,2.9270861487546913,7.605726962882154,2.876068287795377,7.341466547521125,"[4.860967533924342e-13, 1.296996725262263e-07, 0.3950100844207383, 0.6049661158892474, 2.3669988669215123e-05, 7.003683218187691e-13, 4.860967533924342e-13]",96284,797590
10,8,270,1.107602035517707,902.8513562929555,2.9270531937493405,7.605553229762571,2.8760679318550153,7.341464736241637,"[4.860967544963591e-13, 1.2564189250720702e-07, 0.39501140275007063, 0.6049655320378612, 2.293956807435865e-05, 6.431291434604446e-13, 4.860967544963591e-13, 4.860967544963591e-13]",96283,797589
10,9,270,1.107602035517707,902.8513562929555,2.927032429713771,7.605443767376642,2.876066495790302,7.341457428520388,"[4.86096755343087e-13, 1.2145682534890126e-07, 0.395012480584409, 0.6049650167310052, 2.2381225214762002e-05, 6.010058665271983e-13, 4.86096755343087e-13, 4.86096755343087e-13, 4.86096755343087e-13]",96282,797588
50,2,310,1.386861029115356,721.0527796270078,4.362072821737052,20.564339382644686,4.36242000979693,20.569288836307233,"[1.88295914692879e-06, 0.999998117040853]",76900,637279
50,3,310,1.386861029115356,721.0527796270078,3.693490786846453,12.937534340066895,3.6260246339377256,12.346452213657741,"[4.86096746551673e-13, 0.031050853818469854, 0.968949146181044]",76899,637278
