merges,n_embed,n_heads,n_layers,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
10,128,8,8,0.0003,0.2,0.0001,cosine_warmup,270,1660814,6.00970458984375,6.363152027130127,1.7933756321144363,1.8505237906816865,30,../checkpoints/GPT/hparams_search/best_hps_250825_200537_a5b14898.pt,../checkpoints/GPT/hparams_search/last_hps_250825_200537_a5b14898.pt,../checkpoints/GPT/hparams_search/hps_250825_200537_a5b14898_hparams.json,hps_250825_200537_a5b14898
10,128,2,8,0.0003,0.2,0.0001,cosine_warmup,270,1660814,6.106815814971924,6.554988384246826,1.8094054836381595,1.8802263514967223,30,../checkpoints/GPT/hparams_search/best_hps_250825_200210_63fd59e4.pt,../checkpoints/GPT/hparams_search/last_hps_250825_200210_63fd59e4.pt,../checkpoints/GPT/hparams_search/hps_250825_200210_63fd59e4_hparams.json,hps_250825_200210_63fd59e4
10,128,2,2,0.0003,0.2,0.0001,cosine_warmup,270,479630,7.1381049156188965,8.27084732055664,1.9654472877595357,2.1127368922652243,30,../checkpoints/GPT/hparams_search/best_hps_250825_200118_bce51bb4.pt,../checkpoints/GPT/hparams_search/last_hps_250825_200118_bce51bb4.pt,../checkpoints/GPT/hparams_search/hps_250825_200118_bce51bb4_hparams.json,hps_250825_200118_bce51bb4
10,128,8,2,0.0003,0.2,0.0001,cosine_warmup,270,479630,7.498335838317871,8.649313926696777,2.014681197954934,2.1574799655256256,30,../checkpoints/GPT/hparams_search/best_hps_250825_200440_5c4a150a.pt,../checkpoints/GPT/hparams_search/last_hps_250825_200440_5c4a150a.pt,../checkpoints/GPT/hparams_search/hps_250825_200440_5c4a150a_hparams.json,hps_250825_200440_5c4a150a
10,16,8,8,0.0003,0.2,0.0001,cosine_warmup,270,35806,15.265155792236328,15.7595796585083,2.7255728415771814,2.7574484589473105,30,../checkpoints/GPT/hparams_search/best_hps_250825_195949_6952bac9.pt,../checkpoints/GPT/hparams_search/last_hps_250825_195949_6952bac9.pt,../checkpoints/GPT/hparams_search/hps_250825_195949_6952bac9_hparams.json,hps_250825_195949_6952bac9
10,16,8,2,0.0003,0.2,0.0001,cosine_warmup,270,17182,15.42001724243164,15.978732109069824,2.735666466017376,2.771258528020138,30,../checkpoints/GPT/hparams_search/best_hps_250825_195906_f74b0cb2.pt,../checkpoints/GPT/hparams_search/last_hps_250825_195906_f74b0cb2.pt,../checkpoints/GPT/hparams_search/hps_250825_195906_f74b0cb2_hparams.json,hps_250825_195906_f74b0cb2
10,16,2,8,0.0003,0.2,0.0001,cosine_warmup,270,35806,15.461896896362305,15.920133590698242,2.7383786951253475,2.7675846545388283,30,../checkpoints/GPT/hparams_search/best_hps_250825_195819_75ecefdf.pt,../checkpoints/GPT/hparams_search/last_hps_250825_195819_75ecefdf.pt,../checkpoints/GPT/hparams_search/hps_250825_195819_75ecefdf_hparams.json,hps_250825_195819_75ecefdf
10,16,2,2,0.0003,0.2,0.0001,cosine_warmup,270,17182,15.483016014099121,16.025074005126953,2.7397437063379764,2.774154711554155,30,../checkpoints/GPT/hparams_search/best_hps_250825_195736_2f091cad.pt,../checkpoints/GPT/hparams_search/last_hps_250825_195736_2f091cad.pt,../checkpoints/GPT/hparams_search/hps_250825_195736_2f091cad_hparams.json,hps_250825_195736_2f091cad
200,128,2,8,0.0003,0.2,0.0001,cosine_warmup,460,1709644,18.443504333496094,19.58212661743164,2.9147121404618863,2.974617124133917,30,../checkpoints/GPT/hparams_search/best_hps_250825_201245_e9c938a4.pt,../checkpoints/GPT/hparams_search/last_hps_250825_201245_e9c938a4.pt,../checkpoints/GPT/hparams_search/hps_250825_201245_e9c938a4_hparams.json,hps_250825_201245_e9c938a4
200,128,8,8,0.0003,0.2,0.0001,cosine_warmup,460,1709644,18.513137817382812,19.192594528198242,2.9184806724432493,2.954524416153948,30,../checkpoints/GPT/hparams_search/best_hps_250825_201503_23f17755.pt,../checkpoints/GPT/hparams_search/last_hps_250825_201503_23f17755.pt,../checkpoints/GPT/hparams_search/hps_250825_201503_23f17755_hparams.json,hps_250825_201503_23f17755
