merges,n_embed,n_heads,n_layers,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
10,128,2,8,0.0003,0.2,0.0001,cosine_warmup,270,1660814,17.65109634399414,24.618057250976562,2.8707979334161635,3.2034803208981866,2,../checkpoints/GPT/hparams_search/best_hps_250825_121428_f6b2ef4e.pt,../checkpoints/GPT/hparams_search/last_hps_250825_121428_f6b2ef4e.pt,../checkpoints/GPT/hparams_search/hps_250825_121428_f6b2ef4e_hparams.json,hps_250825_121428_f6b2ef4e
10,128,8,2,0.0003,0.2,0.0001,cosine_warmup,270,479630,17.819368362426758,25.592023849487305,2.880285917444432,3.2422806053057545,2,../checkpoints/GPT/hparams_search/best_hps_250825_121746_09bca93d.pt,../checkpoints/GPT/hparams_search/last_hps_250825_121746_09bca93d.pt,../checkpoints/GPT/hparams_search/hps_250825_121746_09bca93d_hparams.json,hps_250825_121746_09bca93d
10,128,2,2,0.0003,0.2,0.0001,cosine_warmup,270,479630,17.90472412109375,26.299409866333008,2.8850645308798932,3.2695463924686514,2,../checkpoints/GPT/hparams_search/best_hps_250825_121333_1b5239e4.pt,../checkpoints/GPT/hparams_search/last_hps_250825_121333_1b5239e4.pt,../checkpoints/GPT/hparams_search/hps_250825_121333_1b5239e4_hparams.json,hps_250825_121333_1b5239e4
10,128,8,8,0.0003,0.2,0.0001,cosine_warmup,270,1660814,18.1270694732666,25.02531623840332,2.897406410663686,3.2198880103326615,2,../checkpoints/GPT/hparams_search/best_hps_250825_121910_d4a033f9.pt,../checkpoints/GPT/hparams_search/last_hps_250825_121910_d4a033f9.pt,../checkpoints/GPT/hparams_search/hps_250825_121910_d4a033f9_hparams.json,hps_250825_121910_d4a033f9
10,16,2,2,0.0003,0.2,0.0001,cosine_warmup,270,17182,75.22924041748047,115.97327423095703,4.320540154233892,4.75335991384512,2,../checkpoints/GPT/hparams_search/best_hps_250825_120910_62187bec.pt,../checkpoints/GPT/hparams_search/last_hps_250825_120910_62187bec.pt,../checkpoints/GPT/hparams_search/hps_250825_120910_62187bec_hparams.json,hps_250825_120910_62187bec
10,16,8,2,0.0003,0.2,0.0001,cosine_warmup,270,17182,76.3882064819336,115.91898345947266,4.335828263708886,4.752891505019008,2,../checkpoints/GPT/hparams_search/best_hps_250825_121046_d9bcb20b.pt,../checkpoints/GPT/hparams_search/last_hps_250825_121046_d9bcb20b.pt,../checkpoints/GPT/hparams_search/hps_250825_121046_d9bcb20b_hparams.json,hps_250825_121046_d9bcb20b
10,16,2,8,0.0003,0.2,0.0001,cosine_warmup,270,35806,80.00354766845703,119.12317657470703,4.382071068946352,4.780157832153496,2,../checkpoints/GPT/hparams_search/best_hps_250825_120946_65c5d1c1.pt,../checkpoints/GPT/hparams_search/last_hps_250825_120946_65c5d1c1.pt,../checkpoints/GPT/hparams_search/hps_250825_120946_65c5d1c1_hparams.json,hps_250825_120946_65c5d1c1
10,16,8,8,0.0003,0.2,0.0001,cosine_warmup,270,35806,80.4888916015625,120.46949768066406,4.388119038115156,4.791396606180837,2,../checkpoints/GPT/hparams_search/best_hps_250825_121124_cf932b39.pt,../checkpoints/GPT/hparams_search/last_hps_250825_121124_cf932b39.pt,../checkpoints/GPT/hparams_search/hps_250825_121124_cf932b39_hparams.json,hps_250825_121124_cf932b39
200,128,8,8,0.0003,0.2,0.0001,cosine_warmup,460,1709644,103.20146179199219,151.0535430908203,4.636682794449177,5.017634234067277,2,../checkpoints/GPT/hparams_search/best_hps_250825_123119_fe1820ef.pt,../checkpoints/GPT/hparams_search/last_hps_250825_123119_fe1820ef.pt,../checkpoints/GPT/hparams_search/hps_250825_123119_fe1820ef_hparams.json,hps_250825_123119_fe1820ef
200,128,2,8,0.0003,0.2,0.0001,cosine_warmup,460,1709644,104.14462280273438,155.83067321777344,4.645780620169132,5.048770146907942,2,../checkpoints/GPT/hparams_search/best_hps_250825_122831_1a4e9b50.pt,../checkpoints/GPT/hparams_search/last_hps_250825_122831_1a4e9b50.pt,../checkpoints/GPT/hparams_search/hps_250825_122831_1a4e9b50_hparams.json,hps_250825_122831_1a4e9b50
